COMMUNE_NL,COMMUNE_FR,COMMUNE_DE,PKANCODE,STREET_NL,STREET_FR,STREET_DE,HUISNR,LAT,LON
Lille,,,2275,Corsicabaan,,,1,51.2722170051,4.7891472146
Lille,,,2275,Hoeksken,,,24,51.2405620928,4.82608421982
Lille,,,2275,Meikloklaan,,,12,51.2738474416,4.87125984001
Lille,,,2275,Broekzijstraat,,,118,51.2462465322,4.81096678598
Lille,,,2275,Zittaartse heide,,,44,51.2257517462,4.81049595105
Lille,,,2275,Bergpad,,,15,51.2662244583,4.78643788267
Lille,,,2275,Gebroeders De Winterstraat,,,88,51.2575729719,4.80028960896
Lille,,,2275,Wagemansstraat,,,6,51.2617025865,4.78869474035
Lille,,,2275,Kerkstraat,,,87,51.2370832126,4.81672023296
Lille,,,2275,Pater A. Verlindenstraat,,,6,51.2724205666,4.87127293945
Lille,,,2275,Dennenlaan,,,9,51.2606633681,4.79603474303
Lille,,,2275,Schoolstraat,,,47,51.2691546931,4.86311501196
Lille,,,2275,Oude Baan,,,2,51.2684531816,4.86972461189
Lille,,,2275,De Nefstraat,,,99,51.2716838144,4.87417581637
Lille,,,2275,Den Bosberg,,,13,51.2632883785,4.86541369728
Lille,,,2275,Rondtuin,,,11,,
Lille,,,2275,Rondtuin,,,9,51.2728908233,4.87647249635
Lille,,,2275,Molenstraat,,,26,51.2694718622,4.86560925376
Lille,,,2275,Blommerschotsebaan,,,24,51.2670068717,4.77882330614
Lille,,,2275,Zielestraat,,,43,51.2293512142,4.84650659485
Lille,,,2275,Beek,,,12A,51.2344770621,4.83088615448
Lille,,,2275,Rozenlaan,,,13,51.2655868931,4.86723015797
Lille,,,2275,Heide,,,24,51.2359801934,4.85591755785
Lille,,,2275,Gagelveld,,,19,51.2378696787,4.82969143516
Lille,,,2275,Biezenhoek,,,18,51.2302299127,4.83724629396
Lille,,,2275,Eigenaarsstraat,,,7,51.2695914409,4.86784163191
Lille,,,2275,Kerkstraat,,,57,51.2378798969,4.82013419072
Lille,,,2275,Molenpad,,,53,51.273976218,4.86804201543
Lille,,,2275,Karredongen,,,2,51.2628004095,4.82496807451
Lille,,,2275,Heikant,,,88,51.2289559612,4.8252223226
Lille,,,2275,Rooien,,,3,51.2780026424,4.88567589072
Lille,,,2275,Poederleese weg,,,64,51.2339994522,4.82831928177
Lille,,,2275,Hoogland,,,47,51.23555619,4.83771226681
Lille,,,2275,De Schrans,,,35,51.2361693798,4.82121638221
Lille,,,2275,Wechelsebaan,,,145,51.252947351,4.81244663302
Lille,,,2275,Boskant,,,102,51.2478666231,4.81607215872
Lille,,,2275,Poederleese weg,,,63A,51.2351464832,4.82817883759
Lille,,,2275,Pulsebaan,,,25,51.2612519855,4.78555100649
Lille,,,2275,Dorp,,,12,51.2275105928,4.83600310358
Lille,,,2275,Hulsbos,,,62,51.2270674028,4.8308091601
Lille,,,2275,Zand,,,20,51.2677865231,4.80086752177
Lille,,,2275,Vondelweg,,,2,51.2634933179,4.86846216925
Lille,,,2275,Tielenbaan,,,109,51.2371124814,4.83888273866
Lille,,,2275,De Dijken,,,4,,
Lille,,,2275,Rolleken,,,30,51.2683906718,4.8337041931
Lille,,,2275,S. Daneelsstraat,,,4,51.2716493344,4.867032764
Lille,,,2275,Lindenlaan,,,8,51.2627817411,4.79013110521
Lille,,,2275,Pulsebaan,,,39,51.2605794241,4.78515746923
Lille,,,2275,Heggelaan,,,78,51.2212908035,4.83051522519
Lille,,,2275,Karrewiel,,,7,51.2749739949,4.79344724989
Lille,,,2275,Beek,,,86,51.2321639315,4.83375493975
Lille,,,2275,Broekzijstraat,,,64A,51.2420521278,4.80558813315
Lille,,,2275,Sept,,,30,51.2695567168,4.78375815959
Lille,,,2275,Kaulildijk,,,12,51.2707961546,4.78734168768
Lille,,,2275,Molenpad,,,24,51.2721339346,4.86966151616
Lille,,,2275,Visbeekbaan,,,10,51.2666255023,4.78877544394
Lille,,,2275,Vennestraat,,,24,51.2661242033,4.86902140889
Lille,,,2275,Wechelsebaan,,,38,51.2438793485,4.82208227728
Lille,,,2275,Hemeldonk,,,26,51.2733961847,4.85276617479
Lille,,,2275,Lozijde,,,27,51.273766982,4.87320453529
Lille,,,2275,Zand,,,1,51.2700606296,4.79986945791
Lille,,,2275,Wechelsebaan,,,101,51.2494884388,4.81684697767
Lille,,,2275,Rechtestraat,,,54,51.2413258182,4.82420680696
Lille,,,2275,Valvekenstraat,,,76,51.2537772777,4.82812647727
Lille,,,2275,Tielenbaan,,,48,51.236885176,4.831642885
Lille,,,2275,Beersebaan,,,27,51.2695790194,4.86673762625
Lille,,,2275,Boskant,,,87,51.2457637396,4.81657924823
Lille,,,2275,Vinkenpad,,,4,,
Lille,,,2275,Broekzijstraat,,,83,51.2406409239,4.80478931273
Lille,,,2275,Karrewiel,,,18,51.2748028237,4.79418124946
Lille,,,2275,Lage Schoom,,,14,51.2471005844,4.82113420738
Lille,,,2275,Steenbrukken,,,12,51.2352235556,4.82647848259
Lille,,,2275,Nachtegalenstraat,,,41,51.2489917574,4.82038206205
Lille,,,2275,De Dijken,,,38,51.2468548363,4.82957621742
Lille,,,2275,Kruisweg,,,25,51.2628608577,4.79318950657
Lille,,,2275,Kerkepad,,,51,51.2678414674,4.78257971078
Lille,,,2275,Bruinstraat,,,3,51.2544936897,4.82901862339
Lille,,,2275,Den Hert,,,29,51.2631832538,4.78602776535
Lille,,,2275,Heggelaan,,,67,51.2210453909,4.83086619398
Lille,,,2275,Boskant,,,77,51.2449435096,4.81722753891
Lille,,,2275,Hoogland,,,85,51.2341358125,4.83612817117
Lille,,,2275,Koolmeesweg,,,3,51.2742227878,4.79438601879
Lille,,,2275,Boskant,,,55,51.2428464088,4.81758280537
Lille,,,2275,Heikant,,,81,51.2286999848,4.82665727658
Lille,,,2275,Kloosterstraat,,,26,51.2658693813,4.86546245939
Lille,,,2275,Nachtegalenstraat,,,32,51.2490533868,4.81970794181
Lille,,,2275,Vlinderweg,,,2,51.2754014801,4.79221989829
Lille,,,2275,Kerkepad,,,34,51.2663303685,4.78398196028
