PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
1750,Lennik,Brusselsestraat,159,50.8128061509,4.20289249447
1750,Lennik,Lombeeksestraat,67,50.8263837068,4.12078308854
1750,Lennik,Frans Van der Steenstraat,101,50.8006416464,4.15469660866
1750,Lennik,Ninoofsesteenweg,175,50.8344081281,4.13402607416
1750,Lennik,Zwartenbroekstraat,142,50.8008793592,4.15089436599
1750,Lennik,Gustaaf Breynaertstraat,111,50.8321576615,4.14613213404
1750,Lennik,Palokenstraat,4,50.8157662477,4.16662115376
1750,Lennik,Langestraat,60,50.7912473224,4.15023733671
1750,Lennik,Henry Dunantstraat,6,50.8003013615,4.14394477069
1750,Lennik,Alfred Algoetstraat,48,50.8065293925,4.1586678801
1750,Lennik,Eizeringenstraat,7,50.8213534196,4.13366286862
1750,Lennik,Blok ter Vaart,10,50.8094764147,4.14255531466
1750,Lennik,Waterhoflaan,14,50.8183454074,4.17905801574
1750,Lennik,Joseph Van den Bosschestraat,33,50.8067067243,4.14326759983
1750,Lennik,Brusselsestraat,53,50.8136043636,4.1716709107
1750,Lennik,Scheestraat,15,50.8380100167,4.16931210795
1750,Lennik,Assesteenweg,9,50.806094464,4.13198890429
1750,Lennik,Hamerstraat,14,50.8010029133,4.14249165981
1750,Lennik,Jan Baptist Van der Lindenstraat,16,50.8052738761,4.15755171038
1750,Lennik,Hendrik Ghijselenstraat,18,50.8059426919,4.15289166272
1750,Lennik,Frans Baetensstraat,19,50.8326364407,4.14170865192
1750,Lennik,Kroonstraat,41,50.8055923676,4.15255050721
1750,Lennik,Donkerstraat,9,50.8004617786,4.19468643683
1750,Lennik,Kattenbos,64,50.8309728983,4.15203886662
1750,Lennik,de Saint-Genoisstraat,23,50.8014476267,4.14048990519
1750,Lennik,Oude Brusselsestraat,3C,50.8222601476,4.15339235598
1750,Lennik,Bossuitstraat,53,50.8199063177,4.17500353501
1750,Lennik,Sint-Elooistraat,49,50.7983559921,4.13869317221
1750,Lennik,Tombergstraat,57,50.8248754023,4.16037775449
1750,Lennik,Frans Van der Steenstraat,65,50.8018404038,4.15473841172
1750,Lennik,Frans Luckxstraat,105,50.7859087087,4.16003108756
