PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
8000,Brugge,Wollestraat,3,51.2083171356,3.22537175216
8000,Brugge,Gentpoortvest,40,51.201615333,3.23167980948
8000,Brugge,Karel Mestdaghstraat,60,51.2198236123,3.20232783772
8000,Brugge,Sint-Clarastraat,105,51.2170190944,3.22342567308
8000,Brugge,Blankenbergse Steenweg,140,51.2269495653,3.20675739691
8000,Brugge,Monnikenwerve,189,51.2455864614,3.20566876804
8000,Brugge,Palingstraat,60,51.2332480001,3.20587622964
8000,Brugge,Gouden-Boomstraat,35,51.2143109957,3.21150932274
8000,Brugge,Stijn Streuvelsstraat,52,51.213386495,3.23786513589
8000,Brugge,Gieterijstraat,43,51.2129596214,3.21542269146
8000,Brugge,Jules van Praetstraat,38,51.2281235242,3.24058016858
8000,Brugge,Berkenstraat,2,51.2338449563,3.21207321438
8000,Brugge,Sentillenhof,5,51.2008772505,3.23015243879
8000,Brugge,Vuldersstraat,104,51.2089031994,3.23899589388
8000,Brugge,Hoge Hul,40,51.2455079603,3.19908905984
8000,Brugge,Kreupelenstraat,23,51.2061633363,3.21459893698
8000,Brugge,Oude-Zwinstraat,26,51.2316989687,3.24343164707
8000,Brugge,Blankenbergse Steenweg,302,51.2340721683,3.20364796381
8000,Brugge,Sterstraat,5,51.2141295689,3.22562407021
8000,Brugge,Rozendal,22,51.2114764552,3.21797112565
8000,Brugge,Jeruzalemstraat,54,51.2122790655,3.23297527061
8000,Brugge,Ezelstraat,24,51.21230364,3.21969726225
8000,Brugge,Kazernevest,64,51.2065194089,3.23788056809
8000,Brugge,Goezeputstraat,11,51.2043956098,3.22205362464
8000,Brugge,Korendragersstraat,10,51.2262148319,3.23231698955
8000,Brugge,Julius en Maurits Sabbestraat,53,51.2188029156,3.22673086373
8000,Brugge,Koolkerkse Steenweg,123,51.2269041052,3.23682401736
8000,Brugge,Graaf de Mûelenaerelaan,86,51.2236907005,3.23331974404
8000,Brugge,Wulfhagestraat,10,51.2072581012,3.2187999917
8000,Brugge,Korte Lane,15,51.2076183751,3.21673749634
8000,Brugge,Kroonstraat,23,51.2180407889,3.20917378219
8000,Brugge,Begijnhof,15A,51.2004082048,3.22326738139
8000,Brugge,Komvest,78,51.2207821493,3.2282710853
8000,Brugge,Peterseliestraat,52,51.2169099039,3.23593856135
8000,Brugge,Pathoekeweg,39,51.251807311,3.21034566335
8000,Brugge,Kleine Monnikenwerve,16,51.245904049,3.20072007922
8000,Brugge,Hoefijzerlaan,90,51.2092712915,3.21460908115
8000,Brugge,Beenhouwersstraat,65,51.2100861751,3.21601780524
8000,Brugge,Oostendse Steenweg,103,51.222858916,3.20308497139
8000,Brugge,Klaverstraat,37,51.2150030523,3.21813018984
8000,Brugge,Zwanehoek,7,51.2352310172,3.24548845159
8000,Brugge,Collaert Mansionstraat,26,51.2153967916,3.22753018315
8000,Brugge,Langerei,70,51.2184754533,3.22922225412
8000,Brugge,Gouden-Boomstraat,17,51.214596244,3.21247568061
8000,Brugge,Leopold I-laan,13,51.2170835609,3.21105250476
8000,Brugge,Sint-Clarastraat,123,51.2174637716,3.2235895301
8000,Brugge,Langestraat,95,51.2110175533,3.23599158463
8000,Brugge,Steenhouwersdijk,2,51.2083036011,3.22880288509
8000,Brugge,Sint-Pietersstatiedreef,23,51.2214542832,3.20215221684
8000,Brugge,Gulden-Vlieslaan,2,51.2097592456,3.21448967558
8000,Brugge,Witteleertouwersstraat,3,51.2085101414,3.23196504232
8000,Brugge,Boeveriestraat,9,51.2036172093,3.21689235605
8000,Brugge,Rijkepijndersstraat,8,51.2141091937,3.23182047296
8000,Brugge,Oliebaan,5,51.2168408334,3.22956061837
8000,Brugge,Willemijnendreef,46,51.2040561676,3.23473228972
8000,Brugge,Lauwerstraat,12,51.2139749287,3.21161555803
8000,Brugge,Katelijnestraat,152,51.1998031241,3.22870014525
8000,Brugge,Spaanse loskaai,1,51.2125671285,3.22539370347
8000,Brugge,Werfstraat,21,51.2168397091,3.216045042
8000,Brugge,Predikherenstraat,9,51.2085577268,3.23013663272
8000,Brugge,Balsemboomstraat,91,51.2096477289,3.23945000454
8000,Brugge,Predikherenrei,2,51.2091834435,3.23296517612
8000,Brugge,Ezelstraat,141,51.2144834545,3.21652276812
8000,Brugge,Schouwvegersstraat,18,51.2081117338,3.21447089242
8000,Brugge,Sint-Pieterszuidstraat,31,51.2227914909,3.20965380103
8000,Brugge,Spanjaardstraat,8,51.2122014219,3.22537361047
8000,Brugge,Scheepsdalelaan,69,51.2184647139,3.20993321069
8000,Brugge,Kazernevest,82,51.2059367761,3.23736105361
8000,Brugge,Wilgenstraat,10,51.2318216786,3.20902145797
8000,Brugge,Dudzeelse Steenweg,46,51.2250819192,3.22859144214
8000,Brugge,Eiermarkt,8,51.2095794737,3.22330343617
8000,Brugge,Minnewater,11,51.2001768418,3.22487676985
8000,Brugge,Oude Gentweg,161,51.2032385845,3.2330660634
8000,Brugge,Leenweg,9,51.2301999371,3.24213196344
8000,Brugge,Biddersstraat,42,51.2150406339,3.22417200585
8000,Brugge,Kleine Hertsbergestraat,5,51.2093487526,3.22931947017
8000,Brugge,Koetelwijk,13,51.2242886444,3.2297437993
8000,Brugge,Gandhiplein,4,51.2308991848,3.23409369534
8000,Brugge,Kruiersstraat,6,51.2145049918,3.23095018828
8000,Brugge,Snaggaardstraat,12,51.2151528076,3.230925803
8000,Brugge,Sint-Pietersmolenstraat,13,51.2329675422,3.20215132746
8000,Brugge,Sint-Clarastraat,87,51.2166189668,3.22322079029
8000,Brugge,Violierstraat,39,51.2049185847,3.23442871044
8000,Brugge,Klaverstraat,19,51.2148555422,3.21761354473
8000,Brugge,Poelweg,20,51.2328738404,3.2101999277
8000,Brugge,Houtkaai,27,51.2168800654,3.20574914076
8000,Brugge,Langestraat,131,51.2118076723,3.23730071483
8000,Brugge,Krakeleweg,71,51.2325370738,3.21934182993
8000,Brugge,Karel de Stoutelaan,60,51.213121769,3.20965427289
8000,Brugge,Verversdijk,22,51.2122091468,3.22972407491
8000,Brugge,Markt,16,51.2086068091,3.22360967144
8000,Brugge,Sint-Pieterszuidstraat,13,51.2225512721,3.20887212904
8000,Brugge,Elf-Julistraat,26,51.2163603749,3.22005410169
8000,Brugge,Sentillenhof,29,51.2013878843,3.22961412685
8000,Brugge,Rodestraat,46,51.2114603838,3.23511996494
8000,Brugge,Dokwerkersstraat,8,51.2252548368,3.23424501586
8000,Brugge,Oude Gentweg,26,51.2025266475,3.22824955508
8000,Brugge,Louis de Potterstraat,53,51.226256889,3.24039309809
8000,Brugge,Walstraat,6,51.2030135696,3.22473684083
8000,Brugge,Pannebekestraat,122,51.2260722332,3.2351723183
8000,Brugge,Leopold I-laan,31,51.2167428618,3.21052934615
8000,Brugge,Baliestraat,56,51.2167857041,3.22626780811
