PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
3454,Geetbets,Bergeneindestraat,27,50.9023426046,5.17674306472
3454,Geetbets,Leeuwbeekstraat,28,50.9098796506,5.14717897446
3454,Geetbets,Biesemstraat,45,50.9017230254,5.15618343674
3454,Geetbets,Leeuwbeekstraat,4,50.9039107842,5.15577060713
3454,Geetbets,Kraaistraat,36,50.8898095252,5.17306263809
3454,Geetbets,Ketelstraat,48D,50.893032916,5.1612874443
3454,Geetbets,Biesemstraat,63,50.9046908105,5.1561896093
3454,Geetbets,Lutzestraat,46,50.877323366,5.14335721097
3454,Geetbets,Ketelstraat,33,50.8917762654,5.16076120257
3454,Geetbets,Ketelstraat,61,50.8908886343,5.16281726961
3454,Geetbets,Ketelstraat,15,50.8936456215,5.15948276528
3454,Geetbets,Biesemstraat,81,50.9063429278,5.15715944118
3454,Geetbets,Grote Steenweg,150,50.9007949127,5.17654580928
3454,Geetbets,Oppenstraat,19,50.887112866,5.15945127545
3454,Geetbets,Persoonstraat,37,50.8931927822,5.16616490718
3454,Geetbets,Warande,12,50.8880257643,5.16455933171
3454,Geetbets,Grote Steenweg,139,50.9012229609,5.17540347853
3454,Geetbets,Ketelstraat,71A,50.8906626733,5.16351402607
3454,Geetbets,Grote Baan,78,50.8824653652,5.16530633027
3454,Geetbets,Diepenpoelstraat,7,50.9110932802,5.14559173516
3454,Geetbets,Kasteellaan,25,50.8970198977,5.14938817397
3454,Geetbets,Grote Steenweg,257,50.9109175484,5.17557632942
3454,Geetbets,Kraaistraat,18,50.8897200418,5.1690065128
3454,Geetbets,Warande,30,50.8879286859,5.16177030761
3454,Geetbets,Ketelstraat,8,50.8949824869,5.15993941494
3454,Geetbets,Bergeneindestraat,10,50.9002862345,5.17712432892
3454,Geetbets,Persoonstraat,55,50.8954719596,5.16712150141
3454,Geetbets,Leeuwbeekstraat,11,50.9063947411,5.15074719989
3454,Geetbets,Heffelstraat,8A,50.883312622,5.16167823429
3454,Geetbets,Bruinenveldweg,9,50.9013171337,5.16278537924
3454,Geetbets,Smolderstraat,125,50.9027004823,5.1873139737
3454,Geetbets,Grote Baan,25,50.8864756627,5.16470046304
3454,Geetbets,Grote Steenweg,149,50.9018908184,5.17510304472
3454,Geetbets,Dullaerstraat,16,50.8894124642,5.18220991614
3454,Geetbets,Leeuwbeekstraat,46,50.9110373418,5.14254739384
3454,Geetbets,Ketelstraat,68,50.8912714809,5.16341958391
3454,Geetbets,Grote Steenweg,132,50.8991109022,5.17722747162
3454,Geetbets,Kraaistraat,72,50.8903162713,5.1798013519
3454,Geetbets,Grote Steenweg,250,50.9100800305,5.17659851252
3454,Geetbets,Warande,29,50.8879457808,5.16206067601
3454,Geetbets,Kapelstraat,17,50.8858896386,5.16844917152
3454,Geetbets,Grote Baan,8,50.8877820865,5.16514956884
3454,Geetbets,Oppenstraat,20,50.8875130781,5.16004058882
3454,Geetbets,Persoonstraat,20,50.8914558204,5.16622081181
3454,Geetbets,Kraaistraat,25A,50.8896824083,5.17684229895
3454,Geetbets,Grote Steenweg,239,50.909516954,5.17443389824
3454,Geetbets,Grote Steenweg,86,50.8941826079,5.17950998047
3454,Geetbets,Kraaistraat,48,50.8899403745,5.17419568668
3454,Geetbets,Ketelstraat,81A,50.8901150018,5.16405864096
3454,Geetbets,Kraaistraat,54,50.8900154284,5.17464241883
3454,Geetbets,Schelfstraat,3,50.8813303632,5.17195213462
3454,Geetbets,Kraaistraat,26,50.8898638991,5.17133254238
3454,Geetbets,Grote Steenweg,140,50.9001626599,5.17638806751
3454,Geetbets,Ketelstraat,25,50.8932689613,5.16025336671
3454,Geetbets,Leeuwbeekstraat,38,50.9101955964,5.14357322237
3454,Geetbets,Ketelstraat,1,50.8947743254,5.15837186369
3454,Geetbets,Kraaistraat,2,50.8890903818,5.16700212024
3454,Geetbets,Bergeneindestraat,17,50.9016611605,5.17713593759
3454,Geetbets,Schelfstraat,12B,50.8761390858,5.17401384074
3454,Geetbets,Diepenpoelstraat,16,50.9115857024,5.14993108364
3454,Geetbets,Grote Baan,122,50.8736147826,5.17018402271
3454,Geetbets,Kapelstraat,10,50.8870500905,5.16741552802
