PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
8500,Kortrijk,Izegemsestraat,274,50.8438460224,3.25629504951
8500,Kortrijk,Doorniksestraat,27,50.8263225056,3.26715086244
8500,Kortrijk,Burgemeester Felix de Bethunelaan,17,50.820900545,3.25640357816
8500,Kortrijk,Smokkelpotstraat,31,50.7905295991,3.24364051416
8500,Kortrijk,Kuurnsesteenweg,78,50.8409105768,3.26808346584
8500,Kortrijk,Toekomststraat,17,50.8217520784,3.27055553554
8500,Kortrijk,Damastweversstraat,6,50.8322995618,3.28318558565
8500,Kortrijk,Meensesteenweg,17,50.8312675479,3.25360741066
8500,Kortrijk,Hendrik Consciencestraat,10,50.8267135811,3.25975512093
8500,Kortrijk,Koning Albertstraat,5,50.8252395308,3.26322633333
8500,Kortrijk,Koning Leopold I-straat,5,50.8271832697,3.26000467162
8500,Kortrijk,Berkenlaan,9,50.8272139971,3.29194579461
8500,Kortrijk,Moorseelsestraat,56,50.832172564,3.25115380658
8500,Kortrijk,Emmanuel Viérinwandeling,11,50.8170590743,3.27160994112
8500,Kortrijk,Antoon Van Dycklaan,29,50.8372107876,3.26664572801
8500,Kortrijk,Bruyningstraat,65,50.810266098,3.25402634236
8500,Kortrijk,Seringlaan,36,50.8246331099,3.29140926547
8500,Kortrijk,Jan Palfijnstraat,28,50.8258815964,3.26285964767
8500,Kortrijk,Pervijzestraat,7,50.8145019633,3.27469751589
8500,Kortrijk,Sint-Denijsestraat,194,50.8194535214,3.27426463329
8500,Kortrijk,Doorniksewijk,159,50.8177972787,3.26988030598
8500,Kortrijk,Scheutistenlaan,43,50.8181448231,3.28975566242
8500,Kortrijk,Elfde-julilaan,153,50.821429388,3.28211721612
8500,Kortrijk,Vlasbloemstraat,31,50.8327286082,3.25117978097
8500,Kortrijk,Kapel ter Bedehof,8,50.8217142828,3.29431403225
8500,Kortrijk,Pater Davidstraat,28,50.8269779492,3.28490244362
8500,Kortrijk,Goedendaglaan,108,50.8276883329,3.28844493447
8500,Kortrijk,Hugo Verriestlaan,2,50.8255085076,3.27903820869
8500,Kortrijk,Spoelberg,13A,50.8090637473,3.29774801373
8500,Kortrijk,Maurits Maeterlincklaan,31,50.8122138288,3.30478728614
8500,Kortrijk,Vennestraat,85,50.8347826666,3.28521031681
8500,Kortrijk,Burgemeester Mayeurlaan,41,50.8151777446,3.27923198109
8500,Kortrijk,Greenvillelaan,1,50.807636241,3.30185174523
8500,Kortrijk,Jakob van Arteveldelaan,31,50.8299272411,3.27709240414
8500,Kortrijk,Dokter Snellaertstraat,25,50.8263039797,3.28550151108
8500,Kortrijk,Cederlaan,31,50.8224784796,3.29155028195
8500,Kortrijk,Iepersestraat,93,50.843598106,3.26434179353
8500,Kortrijk,Kapel ter Bede,1,50.8207488387,3.29206434405
8500,Kortrijk,Goedendaglaan,126,50.8277938941,3.28924709073
8500,Kortrijk,Seringlaan,18,50.8246169461,3.29010050785
8500,Kortrijk,Iepersestraat,111,50.8428136301,3.26534908151
8500,Kortrijk,Sint-Denijsestraat,176,50.8199110632,3.27392883566
8500,Kortrijk,Kortrijksestraat,394,50.8336542487,3.25329287976
8500,Kortrijk,Brugsesteenweg,149,50.839703785,3.26351243082
