PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
9160,Lokeren,Weehaagstraat,36,51.145606556,3.97001504216
9160,Lokeren,Zand,17,51.1022831503,3.99499188824
9160,Lokeren,Dam,17,51.1471133485,3.95330602117
9160,Lokeren,Hillarestraat,67,51.0975279702,3.97110732448
9160,Lokeren,Zelebaan,126,51.0923146196,4.01745690458
9160,Lokeren,Heyerstraat,42,51.1107429611,3.94658140923
9160,Lokeren,Nieuwe Dreef,65,51.0957970429,3.9148018677
9160,Lokeren,Ward De Bockstraat,21,51.1145192688,3.96901066642
9160,Lokeren,Brandstraat,11,51.0840284371,4.00994867983
9160,Lokeren,Patershof,35,51.1016620136,3.99300692325
9160,Lokeren,Nijsstraat,39,51.1012965004,3.95586188985
9160,Lokeren,Schuifelstraat,51,51.1303529069,3.95095923181
9160,Lokeren,Stationsstraat,22,51.1061849263,3.98755343209
9160,Lokeren,Zwaluwstraat,2,51.1108219671,4.00742150848
9160,Lokeren,Poststraat,96,51.1049536651,3.99556196843
9160,Lokeren,Bosmanstraat,49,51.1008538494,3.99264849413
9160,Lokeren,Beerveldestraat,43,51.0850217498,3.9345405061
9160,Lokeren,Knaptandstraat,10,51.1006597834,3.98463142767
9160,Lokeren,Zeveneekskens,10,51.1284955377,3.94978957034
9160,Lokeren,Knokkestraat,17,51.1032893251,3.99452412457
9160,Lokeren,Daknamstraat,12,51.1129798709,3.98718537102
9160,Lokeren,Zelestraat,3,51.1019039174,3.99596204037
9160,Lokeren,Hillarestraat,228,51.0902594831,3.96384929136
9160,Lokeren,Eksaarde-dorp,158,51.1489711979,3.96806373682
9160,Lokeren,Noordstraat,10,51.1438089097,3.96098016177
9160,Lokeren,Spinnerslaan,8,51.1122098644,4.01744518089
9160,Lokeren,Stationsplein,6,51.107207369,3.98770717179
9160,Lokeren,Bosmanstraat,67,51.1005162163,3.99287135063
9160,Lokeren,Brugstraat,16,51.102382015,3.99683927915
9160,Lokeren,Cyriel Buyssestraat,17,51.1205809521,4.00591592175
9160,Lokeren,Heirbrugstraat,270,51.1064926626,3.97512140087
9160,Lokeren,Jasmijnstraat,12,51.1151635512,3.99057389885
9160,Lokeren,Vermeulenstraat,34,51.0997052714,3.99571828242
9160,Lokeren,Groendreef,63,51.109927856,3.9847089033
9160,Lokeren,Herman Teirlinckstraat,7,51.1193368189,4.0069460365
9160,Lokeren,Oude Heerweg,40,51.1142071293,3.99517846633
9160,Lokeren,Bergendriesstraat,76,51.1124930335,3.98612888552
9160,Lokeren,Veldstraat,38,51.1002910701,3.99276651178
9160,Lokeren,Labostraat,5,51.1120364225,3.98428062656
9160,Lokeren,Daknamstraat,30,51.1132624516,3.98687018235
9160,Lokeren,Schoolstraat,14,51.1035089631,3.99097740436
9160,Lokeren,Verbindingstraat,26,51.1050684981,3.97426998079
9160,Lokeren,Gentse Steenweg,89,51.1143378718,3.95676238146
9160,Lokeren,Blekerijstraat,17,51.1042035159,3.99518387507
9160,Lokeren,Beerveldestraat,61,51.0850572684,3.93062595212
9160,Lokeren,Eekstraat,111,51.1025953904,3.97429995087
9160,Lokeren,Kazernestraat,14,51.1012113399,3.98958367404
9160,Lokeren,Maanstraat,20,51.0933269555,3.98957597907
9160,Lokeren,Sint-Jansdam,8,51.1529469325,3.97621451329
9160,Lokeren,Weehaagstraat,18,51.1468629305,3.969805978
9160,Lokeren,Hemelseschoot,27,51.1275254504,3.94720783036
9160,Lokeren,Papestraat,37A,51.1105126403,3.96186990262
9160,Lokeren,Eksaardebaan,10,51.1125549666,3.96125852052
9160,Lokeren,Hillarestraat,85,51.0962804005,3.96892493967
9160,Lokeren,Daknammolenstraat,29,51.1184441982,3.99426731
9160,Lokeren,Vogelzangstraat,6,51.0761425514,3.94672595292
9160,Lokeren,Heirbrugstraat,252,51.1060469444,3.97561974832
9160,Lokeren,Gladiolenhof,12,51.1106052895,3.98755028956
9160,Lokeren,Pontweg,70,51.1337184564,4.00512474558
9160,Lokeren,Gentdam,20,51.1183552024,3.95047389461
9160,Lokeren,H.-Geestmolenstraat,106,51.1172923033,3.97174765051
9160,Lokeren,Waasmunsterbaan,66,51.1071308189,4.01814837517
9160,Lokeren,Oude-Bruglaan,137,51.1056816733,4.00592297879
9160,Lokeren,Uebergdreef,42,51.1098663649,3.99086856959
9160,Lokeren,Stijn Streuvelsstraat,11,51.116740599,4.00292484752
9160,Lokeren,Groendreef,81,51.1106418361,3.984789868
9160,Lokeren,Eekstraat,5,51.1032216461,3.97876708622
9160,Lokeren,Kerkstraat,68,51.1028426855,3.99418960662
9160,Lokeren,Jan Persoonsstraat,28,51.1154670798,3.994547754
9160,Lokeren,Liniestraat,11,51.149305847,3.95606597169
9160,Lokeren,Veerstraat,6,51.1100525529,3.97040650001
9160,Lokeren,Filip De Pillecynstraat,7,51.1195877798,4.00612228685
9160,Lokeren,Krekelstraat,38,51.09995672,3.99913091622
9160,Lokeren,Drongenstraat,48,51.1011684117,3.90646233893
9160,Lokeren,Hovenierstraat,22,51.0979615311,3.99026952535
9160,Lokeren,Driesstraat,46,51.0927696763,3.99989248488
9160,Lokeren,Moleneindstraat,8,51.1029654913,3.94380133351
9160,Lokeren,Daknammolenstraat,5,51.1168218717,3.99092868329
9160,Lokeren,Van Duysestraat,5,51.1110517884,3.97800744061
9160,Lokeren,Rozenstraat,24,51.1084327425,4.00981611218
9160,Lokeren,Sint-Jozefstraat,15,51.0906290506,3.97551091855
9160,Lokeren,Zwaluwstraat,26,51.1116511174,4.00969833852
9160,Lokeren,Veldstraat,1A,51.0999548936,3.99054437087
9160,Lokeren,Markt,5,51.1042073643,3.98905926808
9160,Lokeren,Markt,75,51.1037477377,3.98944349241
9160,Lokeren,Vermeulenstraat,16,51.1000650685,3.99562376194
9160,Lokeren,Sterrestraat,189,51.0954522428,3.98563084835
9160,Lokeren,Gentse Steenweg,368,51.1083688122,3.9076994828
9160,Lokeren,Kazernestraat,32,51.1006723329,3.98988185128
9160,Lokeren,Tweebruggenstraat,59,51.1103807558,3.9794470011
9160,Lokeren,Rechtstraat,319,51.1322083752,3.91394315403
9160,Lokeren,Schoolstraat,32,51.1029897726,3.99053042767
9160,Lokeren,Doorndonkeindeken,19,51.1236681161,3.9234724311
9160,Lokeren,Eksaarde-dorp,176,51.1489865197,3.96935126491
9160,Lokeren,Lokerhoutstraat,40,51.0954041707,3.99611840401
9160,Lokeren,Torenstraat,8,51.1049029414,3.99130883031
9160,Lokeren,Doorslaardorp,27,51.1211625947,3.92455763768
9160,Lokeren,Rechtstraat,157,51.1410913691,3.93792717095
9160,Lokeren,Koning Boudewijnlaan,28,51.0977684009,3.99882469557
9160,Lokeren,Touwstraat,9,51.1032825334,3.97045109632
9160,Lokeren,Zelebaan,108,51.0945513784,4.01461244466
9160,Lokeren,Nieuwpoortstraat,131,51.1004998503,3.91234251321
9160,Lokeren,Gentse Steenweg,48,51.1103611008,3.96333816724
9160,Lokeren,Spoorweglaan,23,51.092695148,3.91340664757
9160,Lokeren,Brouwerijstraat,60,51.1111631501,3.98577447375
9160,Lokeren,Kouterwegel,25,51.1060134443,3.97290915108
9160,Lokeren,Beekstraat,14,51.0960333051,3.99768909927
9160,Lokeren,Oosteindestraat,25,51.0891567086,4.01285794748
9160,Lokeren,Everslaarstraat,140,51.0805559505,3.9831775361
9160,Lokeren,Oude Heerweg,29,51.1141245212,3.99617492274
9160,Lokeren,Achter Sint-Anna,5,51.1005231708,3.98067649753
9160,Lokeren,Zelestraat,91,51.1005617723,3.99991049853
9160,Lokeren,Hillarestraat,103,51.0949443382,3.96819776031
9160,Lokeren,Dennenlaan,12,51.1146978071,3.98935821122
9160,Lokeren,Heirbrugstraat,169,51.105546892,3.97686443277
9160,Lokeren,Rechtstraat,51,51.1450352548,3.95027922189
9160,Lokeren,Markt,57,51.1037954506,3.99123408922
9160,Lokeren,Everslaarstraat,94,51.0830735441,3.98927135008
9160,Lokeren,Kopkapelstraat,48,51.1185169449,4.00247993463
9160,Lokeren,Polenstraat,21,51.1447057197,3.96043289227
9160,Lokeren,Van Duysestraat,57,51.1133970211,3.98531750346
9160,Lokeren,Fernand Hanusdreef,21,51.0953777508,3.91269007401
9160,Lokeren,Eksaarde-dorp,70,51.1476331285,3.95929878518
9160,Lokeren,Pieter De Smetstraat,3,51.0905759187,3.99796584074
9160,Lokeren,Rozenstraat,141,51.1128214987,4.01399531724
9160,Lokeren,Bormtestraat,21,51.0997220907,3.94836966623
9160,Lokeren,Edgard Tinelstraat,23,51.1177550006,4.00052556666
9160,Lokeren,Molenstraat,139,51.0993185778,3.99731887292
9160,Lokeren,Naastveldstraat,71,51.0918379045,3.98605337122
9160,Lokeren,Heirbrugstraat,187,51.1057939763,3.97656023758
9160,Lokeren,Vijverhof,5,51.1272685058,3.94903945949
9160,Lokeren,Poststraat,132,51.1054419582,3.99699302702
9160,Lokeren,Doorslaarstraat,74,51.120345926,3.91300750781
9160,Lokeren,Luikstraat,101,51.1019562717,3.99029120994
9160,Lokeren,Kerkhofstraat,25,51.1079504709,4.00892323879
9160,Lokeren,Hoogstraat,20,51.1069909505,3.97340834917
9160,Lokeren,Markt,58A,51.1038819682,3.99116357417
9160,Lokeren,H.-Hartlaan,160,51.0960738793,3.98968735882
9160,Lokeren,Fernand Hanusdreef,56,51.0934555442,3.90907264151
9160,Lokeren,Eksaarde-dorp,52,51.1472228829,3.95802934091
9160,Lokeren,Sterrestraat,208,51.0933811559,3.9864515811
9160,Lokeren,Rechtstraat,337,51.1316195156,3.9101284632
9160,Lokeren,Braambessenstraat,2,51.1382505966,4.00099598388
9160,Lokeren,Bokslaarstraat,100,51.0896213262,3.99413017374
9160,Lokeren,Beekstraat,49,51.0955485058,3.99931530273
9160,Lokeren,Sparrenhof,38,51.1134098192,3.98894665738
9160,Lokeren,Sterrestraat,65,51.0982932874,3.98590997324
9160,Lokeren,Kasteeldreef,29,51.154289171,3.96280549924
9160,Lokeren,Antwerpse Steenweg,79,51.11942987,4.02188524011
9160,Lokeren,Bautschoot,7,51.1451423069,3.95405390118
9160,Lokeren,Bautschoot,42,51.1436349516,3.95530433245
9160,Lokeren,Bakkerstraat,13,51.0961171778,4.00593924562
9160,Lokeren,Eksaardebaan,45,51.1159089262,3.96474853307
9160,Lokeren,Heirbrugstraat,116,51.102978922,3.97979607876
9160,Lokeren,Eekstraat,57,51.1027331252,3.97673792452
9160,Lokeren,Sterrestraat,226,51.0929625355,3.98656091295
9160,Lokeren,Eksaardebaan,116,51.1265010987,3.95987862724
9160,Lokeren,Heirbrugstraat,45,51.1025562256,3.9811520724
9160,Lokeren,Doorndonkeindeken,37,51.1249337626,3.9259878239
9160,Lokeren,Slagveldstraat,51,51.1155543467,3.99011217296
9160,Lokeren,Hemelseschoot,3,51.1233086235,3.93786818415
9160,Lokeren,Gerard Walschapstraat,11,51.1185795952,4.0052747396
9160,Lokeren,Lokerhoutstraat,29,51.0956667735,3.99584508768
9160,Lokeren,Brouwerijstraat,42,51.1107551833,3.98617478727
9160,Lokeren,H.-Geestmolenstraat,159,51.1200648718,3.9768782971
9160,Lokeren,Sterrestraat,30,51.0994862923,3.98632508408
9160,Lokeren,Heiendestraat,44,51.083945536,3.95395385989
9160,Lokeren,Poststraat,114,51.1052117537,3.99633677975
9160,Lokeren,August Vermeylenstraat,6,51.0995615642,4.00140667971
9160,Lokeren,Leonie Van Moerstraat,18,51.0973935014,3.97838548864
9160,Lokeren,Vlasdam,27,51.1039400863,3.98457054098
9160,Lokeren,Vredegerechtstraat,35,51.1129991655,3.981977428
9160,Lokeren,Veerstraat,41,51.110187874,3.97486900241
9160,Lokeren,Vlasdam,3,51.1035222927,3.98454612716
9160,Lokeren,Bautschoot,60,51.1424462169,3.95590542067
9160,Lokeren,Voermanstraat,23,51.1018068777,3.98833247026
9160,Lokeren,Sint-Jozefstraat,33,51.0904623205,3.97282475077
9160,Lokeren,Kopkapelstraat,89,51.1196266753,4.00342817614
9160,Lokeren,Rechtstraat,175,51.1406373908,3.93560297096
9160,Lokeren,Bosstraat,39,51.1169554292,3.99519338456
9160,Lokeren,Azalealaan,6,51.1105781122,3.99084297704
9160,Lokeren,Vijgenstraat,39,51.1055326811,3.97865460361
9160,Lokeren,H.-Geestmolenstraat,124,51.1188641138,3.97226176338
9160,Lokeren,Waasmunsterbaan,84,51.1068409108,4.0193870645
9160,Lokeren,Nachtegaallaan,25,51.1138763113,4.01020252091
9160,Lokeren,Scherpeputstraat,7,51.0881210147,4.01074944324
9160,Lokeren,Gladiolenlaan,19,51.1105177237,3.98824313778
9160,Lokeren,Moleneindstraat,96,51.1041947948,3.93162578859
9160,Lokeren,Rechtstraat,240,51.1375402697,3.92781640182
9160,Lokeren,Hendrik Consciencestraat,24,51.1202778562,4.00715043306
9160,Lokeren,Sterrestraat,83,51.0979669772,3.98576745522
9160,Lokeren,Zelestraat,27,51.1014158101,3.99718588448
9160,Lokeren,Klipsenstraat,14,51.1224174061,4.00880919411
9160,Lokeren,Doorslaarstraat,56,51.1209493516,3.91482927564
9160,Lokeren,Hovenierstraat,128,51.0947002733,3.99277869764
9160,Lokeren,Doorslaardam,20,51.1182449116,3.93971876731
9160,Lokeren,Dennenlaan,30,51.1148724536,3.98893622078
9160,Lokeren,Nieuwe Baan,29,51.1546403657,3.99413393075
9160,Lokeren,Hillarestraat,292,51.0874492098,3.96082965531
9160,Lokeren,Nieuwpoortstraat,7,51.1062770021,3.92593309838
9160,Lokeren,Molenstraat,68,51.0982986514,3.99810599792
9160,Lokeren,Berkenlaan,25,51.1142849753,3.99285464312
9160,Lokeren,Schoolstraat,49,51.102491095,3.98978133204
9160,Lokeren,Vierschaarstraat,21,51.0930354012,4.01100351291
9160,Lokeren,Eksaardebaan,81,51.1187876548,3.96402557387
9160,Lokeren,Beukenlaan,23,51.1152100612,3.99371679201
9160,Lokeren,Grijze-Bosplein,3,51.1140886782,3.99083149403
9160,Lokeren,Hoogstraat,108,51.1057697589,3.96588960444
9160,Lokeren,Felix Timmermansstraat,34,51.1175691647,4.0037887069
9160,Lokeren,Oude-Bruglaan,220,51.1068259311,4.00823451595
9160,Lokeren,Gentse Steenweg,36,51.1101417555,3.96498721538
9160,Lokeren,Kovekenstraat,13,51.108057063,3.9709532246
9160,Lokeren,Rozenstraat,194,51.1177881297,4.01800959457
