PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
9080,Lochristi,Molenberglaan,27,51.0788364151,3.88979993428
9080,Lochristi,Rivierstraat,38,51.0755821239,3.88126232225
9080,Lochristi,Kerkstraat,26,51.1300188941,3.86234078392
9080,Lochristi,Toleindestraat,57,51.0806598227,3.88641726591
9080,Lochristi,Gloxinialaan,9,51.084022479,3.80139311296
9080,Lochristi,Dorp-West,3,51.0959493133,3.83287418512
9080,Lochristi,Dorpsstraat,120,51.1036275684,3.83949339049
9080,Lochristi,Ledebeekweg,155,51.0870085479,3.85762794865
9080,Lochristi,Lichtelarestraat,67,51.0832957011,3.81749639683
9080,Lochristi,Rietveldstraat,6,51.0676506179,3.86710710486
9080,Lochristi,Nieuwstraat,27,51.0888988113,3.82134786725
9080,Lochristi,Distelweg,8,51.1318134104,3.869942535
9080,Lochristi,Bastelare,54,51.0976163059,3.89898447481
9080,Lochristi,Burgemeester-Vermeulenlaan,21,51.0989539058,3.835476911
9080,Lochristi,Oosteinde,49,51.1344049187,3.86796871329
9080,Lochristi,Ruilare,158,51.1118202976,3.87221667397
9080,Lochristi,Stationsstraat,31,51.0926809663,3.82660873055
9080,Lochristi,Steenakkerlaan,38,51.0947203789,3.85492615349
9080,Lochristi,Zaffelare-Dorp,50,51.1316196017,3.85857088427
9080,Lochristi,Toleindestraat,218,51.0810957143,3.90257543999
9080,Lochristi,Vossenstraat,21,51.0579075593,3.85890149122
9080,Lochristi,Hoekskensstraat,82,51.1050653286,3.84022902178
9080,Lochristi,Veldekensstraat,83,51.0776172563,3.81758635479
9080,Lochristi,Pensionaatstraat,4,51.0817768349,3.85713147354
9080,Lochristi,Ledebeekweg,173,51.0870394205,3.85815655591
9080,Lochristi,Dorpsstraat,102,51.1034252366,3.83795368946
9080,Lochristi,Oude Veldstraat,49,51.1177872979,3.84746015498
9080,Lochristi,Zavel,57,51.1076947135,3.89102365498
9080,Lochristi,Lichtelarestraat,49,51.0858870967,3.81757792609
9080,Lochristi,Bosstraat,38,51.1067194581,3.84589768202
9080,Lochristi,Antwerpse Steenweg,79,51.0886281688,3.81052596012
9080,Lochristi,Gemete,21,51.1037076836,3.83292071551
9080,Lochristi,Rechtstraat,85,51.1280899272,3.84665623974
9080,Lochristi,Kerkstraat,24A,51.1298420058,3.86073141271
9080,Lochristi,Dahlialaan,6,51.0902597579,3.80594063598
9080,Lochristi,Dorp-Oost,80,51.0979178156,3.84067375435
9080,Lochristi,Lijsterbeslaan,13,51.0842205777,3.82292935803
9080,Lochristi,Toleindestraat,75,51.0809776589,3.88899414571
9080,Lochristi,Oude-Boomgaardlaan,15,51.1009144529,3.8287215821
9080,Lochristi,Oude Veldstraat,85,51.1188538259,3.85206119432
9080,Lochristi,Koning-Albertlaan,216,51.1110311787,3.81456572462
9080,Lochristi,Magretstraat,16,51.0693526566,3.87661781993
9080,Lochristi,Verleydonckstraat,3,51.1124623326,3.81399440826
9080,Lochristi,Molenstraat,12,51.1278005461,3.85642462426
9080,Lochristi,Dorpsstraat,84,51.1027626428,3.83607414937
9080,Lochristi,Boskapellaan,6,51.0877964817,3.84555205209
9080,Lochristi,Antwerpse Steenweg,161,51.0852616324,3.79976962279
9080,Lochristi,Smalle Heerweg,158,51.0919660045,3.79998261692
9080,Lochristi,Kasteeldreef,18,51.0903765976,3.82937054094
9080,Lochristi,Persijzerstraat,11,51.1265702586,3.88358274963
9080,Lochristi,Bevrijdingslaan,17,51.1056470632,3.82683377771
9080,Lochristi,Soldatenhoek,24,51.098966779,3.89033365719
9080,Lochristi,Hoekskensstraat,46,51.1019269836,3.8426821597
9080,Lochristi,Hospitaalstraat,13,51.0789062669,3.87621448319
9080,Lochristi,Dorp-West,144,51.0946996125,3.82488334222
9080,Lochristi,Zaffelare-Dorp,39,51.1324537267,3.86257372695
9080,Lochristi,Bevrijdingslaan,47,51.1067440767,3.83044900831
9080,Lochristi,Magretstraat,34,51.0688114803,3.87398709459
9080,Lochristi,Haanhoutstraat,35,51.0791967889,3.86977127213
9080,Lochristi,Berkenstraat,75,51.133717769,3.85673699328
9080,Lochristi,Heistraat,66,51.0795945473,3.89210868487
9080,Lochristi,Tuinwijk,36,51.1104512961,3.8996216302
9080,Lochristi,Denen,151,51.105245091,3.86703675813
9080,Lochristi,Heistraat,31,51.0794528427,3.88791038075
9080,Lochristi,Molenstraat,30,51.1233421758,3.85587580983
9080,Lochristi,Voordestraat,40A,51.0851811757,3.81076515239
9080,Lochristi,Koning-Albertlaan,91,51.1027164906,3.82744722948
9080,Lochristi,Boekweitlaan,34,51.096823911,3.82315086297
9080,Lochristi,Windgat,32,51.1376802225,3.8285628461
9080,Lochristi,Kouter,17,51.105246331,3.82755861224
9080,Lochristi,Toleindestraat,111,51.0810248635,3.89190347186
9080,Lochristi,Sint-Elooistraat,122,51.099337353,3.89657706042
9080,Lochristi,Haanhoutstraat,47,51.0794397353,3.86781222405
9080,Lochristi,Berkenstraat,57,51.1341583199,3.85773497873
9080,Lochristi,Dekenijstraat,2,51.0959382938,3.83308044797
9080,Lochristi,Bijlokelaan,53,51.0997737325,3.82536832564
9080,Lochristi,Tuinwijk,48,51.1104231173,3.89915824967
9080,Lochristi,Ruilare,176,51.1108764959,3.86990048958
9080,Lochristi,Zeveneken-Dorp,68,51.1071549421,3.89580754463
9080,Lochristi,Burgemeester-Vermeulenlaan,56,51.1005063424,3.83506618539
9080,Lochristi,Oudstrijderslaan,5,51.1045275961,3.83217386956
9080,Lochristi,Brandstraat,36,51.0706182346,3.8589373557
9080,Lochristi,Hoekskensstraat,64,51.1036091602,3.84140652861
9080,Lochristi,Ledebeekweg,191,51.0872443808,3.85861632858
9080,Lochristi,Smalle Heerweg,52,51.0933665068,3.81289186639
9080,Lochristi,Veldstraat,20,51.108360723,3.8072015673
