PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
1541,Herne,Manhovestraat,2,50.7068171575,3.98984223459
1541,Herne,Donkerstraat,7,50.7036160461,4.00717399682
1541,Herne,Brikstraat,7,50.7071793168,3.99069061991
1541,Herne,Markstraat,9,50.7063793327,3.99050547503
1541,Herne,Markstraat,14A,50.7066787959,3.99299406255
1541,Herne,Geraardsbergsesteenweg,19,50.7045929356,4.0280642134
1541,Herne,Edingsesteenweg,64F,50.7015523565,4.03185596128
1541,Herne,Manhovestraat,26,50.6990637089,3.98187722316
1541,Herne,Geraardsbergsesteenweg,37,50.7067077674,4.02423497956
1541,Herne,Heyselstraat,4,50.6988024715,4.03325100274
1541,Herne,Geraardsbergsestraat,9,50.7081330468,3.9886860303
1541,Herne,Edingsesteenweg,122,50.6981005544,4.03533545829
1541,Herne,Eysbroeckstraat,2A,50.7151797005,3.97977697013
1541,Herne,Rasbeekstraat,11,50.7000728953,3.99154259705
1541,Herne,Edingsesteenweg,104,50.6993283883,4.03479456311
1541,Herne,Strijderstraat,24,50.6973625994,4.03389591378
1541,Herne,Geraardsbergsesteenweg,85A,50.7178811267,3.98766801207
1541,Herne,Manhovestraat,15A,50.7042851497,3.98545275321
1541,Herne,Manhovestraat,15C,50.7037341659,3.98548355513
1541,Herne,Torreborrestraat,8,50.6929582967,3.99574487613
1541,Herne,Eysbroeckstraat,6,50.7169459765,3.97555549423
1541,Herne,Strijderstraat,28B,50.6973326821,4.03230247002
1541,Herne,Geraardsbergsestraat,54,50.7105336937,3.98410498153
1541,Herne,Geraardsbergsestraat,62,50.7118588882,3.98366304979
1541,Herne,Driekapellenstraat,7,50.7075101484,3.98750109596
1541,Herne,Markstraat,16,50.7066654355,3.99390278712
1541,Herne,Geraardsbergsesteenweg,83,50.7175741183,3.98827585626
1541,Herne,Edingsesteenweg,86,50.6999145026,4.03396516806
1541,Herne,Geraardsbergsestraat,80,50.7139513144,3.98238493919
1541,Herne,Geraardsbergsesteenweg,65,50.7142182638,4.0007432425
