PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
8553,Zwevegem,Scheldestraat,15,50.8072600154,3.42521612586
8553,Zwevegem,Populierenlaan,55,50.8087173776,3.41580272031
8553,Zwevegem,Klein Ronsestraat,78,50.8063352666,3.42810282225
8553,Zwevegem,Mussestraat,16,50.8052096206,3.4390528616
8553,Zwevegem,Heestertstraat,23,50.8060351673,3.41911249872
8553,Zwevegem,Tiegemstraat,22,50.7998428843,3.44613677817
8553,Zwevegem,Zolderstraat,25,50.811651418,3.41745789444
8553,Zwevegem,Scheldestraat,33,50.806221194,3.42589939454
8553,Zwevegem,Zolderstraat,1,50.8086815744,3.42370985021
8553,Zwevegem,Elf Novemberstraat,4,50.8062212779,3.41749440222
8553,Zwevegem,Wagenmakerstraat,3,50.8147864271,3.39865603634
8553,Zwevegem,Zwevegemstraat,114,50.8159637745,3.40237684602
8553,Zwevegem,Klein Ronsestraat,8,50.8077929412,3.42799977465
8553,Zwevegem,Sparrenlaan,18,50.8072415083,3.41636537541
8553,Zwevegem,Zolderstraat,12B,50.8097519177,3.4239942859
8553,Zwevegem,Eikenlaan,21,50.8073777387,3.415505626
8553,Zwevegem,Klein Ronsestraat,5A,50.8080489153,3.42832724535
8553,Zwevegem,Ingooigemstraat,38,50.8089600856,3.42938173859
8553,Zwevegem,Herrekotstraat,2,50.8096240864,3.4157071766
8553,Zwevegem,Brouwerijstraat,4,50.8051640962,3.41885765936
8553,Zwevegem,Zwevegemstraat,61,50.8092936494,3.4164656105
8553,Zwevegem,Ingooigemstraat,21,50.8091409294,3.42614981745
8553,Zwevegem,Zaveleinde,16,50.8156154864,3.39357880474
8553,Zwevegem,Eikenlaan,38,50.8085122862,3.41507017996
8553,Zwevegem,Blauwvoetstraat,35,50.8048921475,3.42055831347
8553,Zwevegem,Klein Ronsestraat,5C,50.8078199178,3.42854975865
8553,Zwevegem,Populierenlaan,20,50.8083689378,3.41761091638
8553,Zwevegem,Kasselrijstraat,3,50.8219916929,3.40209127283
8553,Zwevegem,Tiegemstraat,5,50.7966372054,3.4380044327
8553,Zwevegem,Zwevegemstraat,8,50.807951019,3.42165933637
8553,Zwevegem,Snoekstraat,5A,50.8243873727,3.3939031916
8553,Zwevegem,Blauwvoetstraat,17,50.8057785003,3.42129172482
8553,Zwevegem,Snoekstraat,1,50.8224544754,3.39175605039
8553,Zwevegem,Herrekotstraat,9,50.8087141115,3.4141852358
8553,Zwevegem,Sint-Annastraat,25,50.8091517531,3.42065612867
8553,Zwevegem,Heestertstraat,6,50.8069114541,3.41951196487
8553,Zwevegem,Zolderstraat,8,50.8088999136,3.42428565856
8553,Zwevegem,Wagenmakerstraat,20,50.8147781815,3.39778999306
8553,Zwevegem,Zwevegemstraat,33,50.8078493547,3.41960429427
8553,Zwevegem,Zwevegemstraat,150,50.8166329465,3.39680885092
8553,Zwevegem,Eikenlaan,4,50.8083621925,3.4168793296
8553,Zwevegem,Diesveldstraat,30,50.819873178,3.4044793739
8553,Zwevegem,Paperrestraat,7,50.800979868,3.4201534723
8553,Zwevegem,Neerkouter,3,50.8141086463,3.42904329007
8553,Zwevegem,Sparrenlaan,11,50.8068755598,3.41640456043
8553,Zwevegem,Klein Ronsestraat,1,50.8085872112,3.42779490604
8553,Zwevegem,Minister Lavensstraat,11,50.805326125,3.42107155015
8553,Zwevegem,Klein Ronsestraat,15,50.8073519367,3.42887068594
8553,Zwevegem,Ingooigemstraat,4,50.8081502073,3.42470962121
8553,Zwevegem,Zwevegemstraat,68,50.8116101415,3.41286814962
8553,Zwevegem,Populierenlaan,27,50.8080232772,3.41745799174
8553,Zwevegem,Blauwvoetstraat,10,50.8057316468,3.41980021856
8553,Zwevegem,Zavelstraat,7,50.8241609318,3.40594544944
8553,Zwevegem,Zwevegemstraat,86,50.8144699127,3.40598104284
8553,Zwevegem,Zwevegemstraat,1,50.8079145032,3.42387522334
8553,Zwevegem,Vichtestraat,37,50.820998985,3.39279849499
8553,Zwevegem,Snoekstraat,8,50.8253307477,3.40288270591
8553,Zwevegem,Scheldestraat,43,50.8052890968,3.42606973
8553,Zwevegem,Zwevegemstraat,15,50.8075180921,3.42127572893
8553,Zwevegem,Klein Ronsestraat,68,50.8066627702,3.42792176169
8553,Zwevegem,Jeugdheemstraat,7,50.8087649019,3.4211236443
8553,Zwevegem,Surremontstraat,10,50.8041925181,3.42329714327
8553,Zwevegem,Populierenlaan,45,50.8083830809,3.41599749048
8553,Zwevegem,Vichtestraat,29,50.8201025391,3.39132800314
8553,Zwevegem,Populierenlaan,63,50.8088738501,3.41612859791
8553,Zwevegem,Klein Ronsestraat,86,50.8065116286,3.42874955042
8553,Zwevegem,Vichtestraat,5,50.817388631,3.39813876153
8553,Zwevegem,Zwevegemstraat,122,50.8166800343,3.40264951798
8553,Zwevegem,Heestertstraat,13,50.8062866876,3.41957521362
8553,Zwevegem,Tiegemstraat,14,50.7992304373,3.44372593238
8553,Zwevegem,Zwevegemstraat,104,50.8154741612,3.40346868619
8553,Zwevegem,Mussestraat,2,50.8069523312,3.43385470147
8553,Zwevegem,Diesveldstraat,3,50.8190058259,3.40024999278
8553,Zwevegem,Ruiffeleindestraat,6,50.7983576284,3.44725010211
8553,Zwevegem,Ingooigemstraat,28,50.808679588,3.42804718468
8553,Zwevegem,Heestertstraat,31,50.8052075083,3.4179910333
8553,Zwevegem,Eikenlaan,28,50.8081175008,3.4155211534
8553,Zwevegem,Olmenlaan,21,50.8073915823,3.41691101413
8553,Zwevegem,Fatimastraat,4,50.8063738462,3.41811546414
8553,Zwevegem,Zwevegemstraat,53,50.8091189471,3.41680642067
8553,Zwevegem,Diesveldstraat,12,50.8189089122,3.40342379022
8553,Zwevegem,Mussestraat,24,50.8065327387,3.44018918373
8553,Zwevegem,Zolderstraat,15,50.8102337193,3.42251245851
8553,Zwevegem,Scheldestraat,25,50.8065851159,3.42580910455
8553,Zwevegem,Zwevegemstraat,71,50.8094011219,3.41603861056
8553,Zwevegem,Sint-Annastraat,8,50.808880321,3.42272497015
8553,Zwevegem,Heestertstraat,37A,50.8045537188,3.41612875288
8553,Zwevegem,Zwevegemstraat,129,50.8160744307,3.39297184217
8553,Zwevegem,Vichtestraat,12,50.8217455597,3.392832831
8553,Zwevegem,Scheldestraat,6,50.8073718184,3.42451906889
8553,Zwevegem,Zolderstraat,14B,50.8103277279,3.42317747582
8553,Zwevegem,Wagenmakerstraat,10,50.8157498869,3.39843423908
8553,Zwevegem,Surremontstraat,3,50.8047688569,3.42352733053
8553,Zwevegem,Zaveleinde,2,50.815487669,3.39786220758
8553,Zwevegem,Ellendedreef,1A,50.8254170422,3.40835616808
8553,Zwevegem,Heestertstraat,2A,50.8071070248,3.41994900167
8553,Zwevegem,Veldstraat,1,50.7964477072,3.4341418352
8553,Zwevegem,Zwevegemstraat,140,50.816709314,3.39819236395
8553,Zwevegem,Ruiffeleindestraat,13,50.7972289789,3.44855441527
8553,Zwevegem,Eikenlaan,56,50.8079582009,3.41507998524
8553,Zwevegem,Brouwerijstraat,21,50.8039978288,3.4222659255
8553,Zwevegem,Zwevegemstraat,78,50.8132246678,3.4086249277
8553,Zwevegem,Heestertstraat,41,50.8027383028,3.41512314672
8553,Zwevegem,Blauwvoetstraat,20,50.804874296,3.42015190677
8553,Zwevegem,Populierenlaan,3,50.8066046698,3.4183867677
8553,Zwevegem,Klein Ronsestraat,80A,50.8061454736,3.42823643652
8553,Zwevegem,Zwevegemstraat,96,50.8150707885,3.40454270108
8553,Zwevegem,Scheldestraat,53,50.8030282335,3.4279088369
8553,Zwevegem,Populierenlaan,35,50.8085954057,3.41648115329
8553,Zwevegem,Sint-Annastraat,1,50.8083197669,3.42245671284
8553,Zwevegem,Jeugdheemstraat,14,50.8081778159,3.42117717673
8553,Zwevegem,Populierenlaan,17,50.8073164044,3.41796149821
8553,Zwevegem,Diesveldstraat,40,50.8197945092,3.40519003833
8553,Zwevegem,Zwevegemstraat,25,50.8076225257,3.42020394132
