PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
1700,Dilbeek,Rerum Novarumlaan,9,50.8624064047,4.24370311806
1700,Dilbeek,Lumbeekstraat,85,50.881319997,4.20983124313
1700,Dilbeek,Populierenlaan,9,50.8538785801,4.24720136272
1700,Dilbeek,Kleinekapellaan,16,50.8402248998,4.27947704017
1700,Dilbeek,A. Waucquezlaan,37,50.848296164,4.28010025371
1700,Dilbeek,Baron R. de Vironlaan,120,50.8460130485,4.27323299485
1700,Dilbeek,Veldeke,5,50.8577532059,4.23776876239
1700,Dilbeek,Sleutelplasstraat,24,50.8478310544,4.28353389823
1700,Dilbeek,Bodegemstraat,83,50.8450999231,4.23776677381
1700,Dilbeek,Flettestraat,14,50.8410290834,4.25545582323
1700,Dilbeek,Palokestraat,142,50.8519872657,4.28504620849
1700,Dilbeek,Oranjerielaan,1,50.8518380985,4.26859572563
1700,Dilbeek,Molenstraat,151,50.8724901428,4.20603882843
1700,Dilbeek,Vrijheidslaan,9,50.8420792932,4.26068724189
1700,Dilbeek,Assestraat,34,50.8816121753,4.22104700034
1700,Dilbeek,Klein Hoefblad,3,50.8570082035,4.23927699987
1700,Dilbeek,Weerstanderslaan,29,50.8431202666,4.27611440469
1700,Dilbeek,Kamerijklaan,25,50.848305436,4.25931863938
1700,Dilbeek,Renbaanlaan,2,50.8614036433,4.24715828872
1700,Dilbeek,H. Moeremanslaan,20,50.8487531237,4.2686495395
1700,Dilbeek,Bodegemstraat,101,50.845371406,4.23712025283
1700,Dilbeek,Verheydenstraat,9,50.8455738944,4.26258235297
1700,Dilbeek,Bouwkunstlaan,6,50.8445656845,4.27485158479
1700,Dilbeek,V. Van Malderlaan,53,50.8541029474,4.26176636074
1700,Dilbeek,Tarweveldlaan,11,50.8547538839,4.22864220067
1700,Dilbeek,Kerkwegstraat,10,50.8362981235,4.25721328748
1700,Dilbeek,d'Arconatistraat,69,50.8470733338,4.25457574485
1700,Dilbeek,Molendal,26,50.8439590795,4.25153739544
1700,Dilbeek,Elegemstraat,186,50.8568323791,4.26847040016
1700,Dilbeek,Bodegemstraat,65,50.8447803722,4.23835875459
1700,Dilbeek,Nachtvlinder,2,50.8629853137,4.23968419047
1700,Dilbeek,A. Waucquezlaan,19,50.847793426,4.28185655831
1700,Dilbeek,Bruine-Lieveheerstraat,3,50.8568713858,4.23210912392
1700,Dilbeek,Hockeylaan,11,50.8385902508,4.25576774962
1700,Dilbeek,Lumbeekstraat,103,50.8816309296,4.20770268545
1700,Dilbeek,Brusselstraat,145,50.8782554249,4.21659207395
1700,Dilbeek,Tenbroekstraat,178,50.8667588143,4.21723329149
1700,Dilbeek,Moortebeekstraat,100,50.8487889564,4.28450884996
1700,Dilbeek,Hooghofstraat,11,50.8405896975,4.26578257873
1700,Dilbeek,Molenbergstraat,125,50.8445720463,4.24456885256
1700,Dilbeek,d'Arconatistraat,87,50.8461413117,4.25237939337
1700,Dilbeek,Sint-Martinusstraat,24A,50.8623236973,4.21544573849
1700,Dilbeek,Sint-Martinusstraat,26,50.8623883527,4.21525462532
1700,Dilbeek,Ninoofsesteenweg,186,50.8444136538,4.27171497714
1700,Dilbeek,Weidestraat,37,50.8397121269,4.25462758707
1700,Dilbeek,Kleinekapellaan,34,50.8402791919,4.27840631147
1700,Dilbeek,Lumbeekstraat,67,50.8816821434,4.21222141429
1700,Dilbeek,Koeivijverstraat,45,50.8299116078,4.25041182176
